banchostats_id,users_irc,users_osu,multiplayer_games,date
145,121,9625,317,2016-06-08 07:38:32
146,121,9623,319,2016-06-08 07:37:27
147,119,9634,313,2016-06-08 07:36:22
148,118,9611,309,2016-06-08 07:35:17
149,117,9640,307,2016-06-08 07:34:12
150,117,9643,304,2016-06-08 07:33:07
151,116,9646,301,2016-06-08 07:32:02
152,116,9663,302,2016-06-08 07:30:57
153,118,9668,312,2016-06-08 07:29:52
154,120,9681,309,2016-06-08 07:28:47
155,121,9680,311,2016-06-08 07:27:42
156,121,9703,316,2016-06-08 07:26:36
157,123,9725,317,2016-06-08 07:25:32
158,123,9754,315,2016-06-08 07:24:27
159,121,9775,314,2016-06-08 07:23:22
160,121,9777,320,2016-06-08 07:22:17
161,121,9787,328,2016-06-08 07:21:12
162,122,9805,326,2016-06-08 07:20:06
163,123,9811,314,2016-06-08 07:19:01
164,122,9856,311,2016-06-08 07:17:54
165,122,9881,307,2016-06-08 07:16:49
166,123,9894,308,2016-06-08 07:15:43
167,123,9866,311,2016-06-08 07:14:38
168,123,9877,306,2016-06-08 07:13:32
169,123,9908,303,2016-06-08 07:12:26
170,125,9956,303,2016-06-08 07:11:21
171,125,9932,310,2016-06-08 07:10:16
172,123,9959,311,2016-06-08 07:09:10
173,125,9980,310,2016-06-08 07:08:04
174,123,9977,309,2016-06-08 07:06:57
175,123,9986,310,2016-06-08 07:05:52
176,123,10012,314,2016-06-08 07:04:46
177,123,10051,321,2016-06-08 07:03:40
178,123,10079,324,2016-06-08 07:02:34
179,122,10101,334,2016-06-08 07:01:28
180,124,10116,330,2016-06-08 07:00:23
181,122,10125,322,2016-06-08 06:59:16
182,122,10101,325,2016-06-08 06:58:10
183,122,10104,315,2016-06-08 06:57:05
184,123,10153,321,2016-06-08 06:55:59
185,125,10219,317,2016-06-08 06:54:53
186,126,10226,317,2016-06-08 06:53:47
187,126,10199,312,2016-06-08 06:52:41
188,125,10200,310,2016-06-08 06:51:36
189,123,10177,305,2016-06-08 06:50:30
190,123,10124,301,2016-06-08 06:49:25
191,122,10139,317,2016-06-08 06:48:19
192,124,10158,317,2016-06-08 06:47:13
193,124,10175,318,2016-06-08 06:46:07
194,125,10161,319,2016-06-08 06:45:02
195,125,10200,316,2016-06-08 06:43:56
196,125,10200,318,2016-06-08 06:42:51
197,125,10193,318,2016-06-08 06:41:46
198,125,10233,316,2016-06-08 06:40:41
199,125,10249,318,2016-06-08 06:39:36
200,125,10234,319,2016-06-08 06:38:31
201,126,10276,319,2016-06-08 06:37:25
202,127,10326,318,2016-06-08 06:36:19
203,127,10363,321,2016-06-08 06:35:14
204,127,10315,325,2016-06-08 06:34:08
205,128,10355,335,2016-06-08 06:33:02
206,128,10390,334,2016-06-08 06:31:56
207,130,10387,336,2016-06-08 06:30:51
208,128,10388,334,2016-06-08 06:29:45
